date,ticker,live_outcome,mentions
2024-11-20,FBRX,win,1
2025-04-21,RSLS,win,1
2025-05-01,KIDZ,win,1
2025-05-06,MRIN,win,1
2025-05-09,SYTA,win,1
2025-05-15,CLIK,win,1
2025-05-16,AMST,win,1
2025-05-20,SYTA,win,1
2025-05-23,IMNN,win,1
2025-06-09,KLTO,win,1
2025-06-10,WINT,win,1
2025-06-25,PSTV,win,1
2025-06-27,LCFY,win,1
2025-06-30,ARTL,win,1
2025-07-15,XAGE,win,1
2025-07-21,PMN,win,1
2025-07-23,PLRZ,win,1
2025-07-31,PBM,win,1
2025-07-31,SNGX,win,1
2025-08-01,LOBO,win,1
2025-08-01,TNON,win,1
2025-08-04,BTBD,win,1
2025-08-05,LOBO,win,1
2025-08-06,AIMD,win,1
2025-08-07,IMG,win,1
2025-08-07,PALI,win,1
2025-08-08,MRM,win,1
2025-08-08,SGBX,win,1
2025-08-11,BJDX,win,1
2025-08-11,ENTO,win,1
2025-08-11,EQ,win,1
2025-08-13,BSLK,win,2
2025-08-13,MNTS,win,1
2025-08-14,AERT,win,1
2025-08-14,TRIB,win,2
2025-08-14,XPON,win,3
2025-08-15,SRXH,win,1
2025-08-19,GXAI,loss,1
2025-08-20,THAR,win,1
2025-08-21,PTIX,loss,1
2025-08-22,ELAB,win,1
2025-08-25,CAPS,win,1
2025-08-25,HCWB,win,1
2025-08-26,ALLR,win,1
2025-08-28,AQB,win,1
2025-08-28,SOGP,win,1
2025-08-29,IPDN,win,1
2025-09-02,HWH,win,1
2025-09-02,LAWR,win,1
2025-09-03,AIHS,win,1
2025-09-04,BBLG,win,1
2025-09-04,CIGL,win,1
2025-09-04,ZNB,win,1
2025-09-05,HKPD,win,1
2025-09-05,PAPL,win,1
2025-09-08,SKYQ,win,1
2025-09-08,XAIR,win,1
2025-09-09,MMA,win,1
2025-09-12,AGAE,win,1
2025-09-15,NAOV,win,1
2025-09-16,TURB,win,1
2025-09-17,SPRC,win,1
2025-09-17,TNMG,win,1
2025-09-18,AERT,win,1
2025-09-22,BOXL,win,1
2025-09-24,ATCH,win,1
2025-09-25,SPRC,win,1
2025-09-26,DFLI,loss,1
2025-09-30,SPRC,loss,1
2025-10-01,PALI,win,1
2025-10-03,ASTC,win,1
2025-10-06,ARBK,loss,1
2025-10-06,ONMD,loss,1
2025-10-07,CISS,win,1
2025-10-08,BIAF,loss,1
2025-10-10,STAI,win,1
2025-10-13,ELBM,win,1
2025-10-14,EDHL,win,1
2025-10-15,GNPX,win,1
2025-10-16,VIVK,loss,1
2025-10-21,IBIO,win,1
2025-10-21,NERV,win,1
2025-10-22,BENF,win,1
2025-10-24,NEUP,win,1
2025-10-24,WGRX,win,1
2025-10-27,CODX,win,1
2025-10-28,XHLD,win,1
2025-10-29,PPBT,win,1
2025-10-30,CVU,win,1
2025-11-03,MSPR,win,1
2025-11-04,MSPR,loss,1
2025-11-05,LNAI,win,1
2025-11-11,MSPR,loss,1
2025-11-17,AMIX,win,1
2025-11-19,SGBX,loss,1
2025-12-02,PLRZ,loss,1
2025-12-04,KALA,win,1
2025-12-09,NCPL,win,1
2025-12-11,PETS,win,1
2025-12-12,ZDGE,win,1
2025-12-15,MASK,win,1
2025-12-17,YCBD,win,1
2025-12-18,ATHA,loss,1
2025-12-22,HXHX,win,1
2025-12-23,HIHO,win,1
2025-12-23,OPTX,win,1
2025-12-24,SOBR,win,1
2025-12-26,ECDA,win,1
2025-12-29,BNAI,win,1
2025-12-30,AEHL,win,1
2025-12-31,INBS,win,1
2026-01-12,BDSX,win,1
2026-01-13,XAIR,win,1
2026-01-14,SEGG,loss,1
2026-01-15,CJMB,loss,1
2026-01-16,JFBR,win,1
2026-01-16,VERO,win,1
2026-01-20,POLA,loss,1
2026-01-22,SXTP,win,1
2026-01-23,REVB,win,1
2026-01-30,TWNP,win,1
2026-02-02,FUSE,win,1
2026-02-03,GXAI,win,1
2026-02-12,CHOW,win,1
2026-02-17,CHOW,loss,1
2026-02-18,RXT,win,1
