strategy,date,ticker,live_outcome,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,net_pnl_dollars,trade_size,after_trade_capital,model_outcome
Base,2024-11-20,FBRX,win,2024-11-20T09:43:00-05:00,10.05201,2024-11-20T09:44:00-05:00,9.648,stop_loss,-4.0192,-98.81257,2400.0,2901.18743,loss
Base,2025-05-01,KIDZ,win,2025-05-01T10:19:00-04:00,3.058612,2025-05-01T10:23:00-04:00,3.334333,surge_first_red_close,9.0146,206.798639,2320.949944,3107.986069,win
Base,2025-05-09,SYTA,win,2025-05-09T09:42:00-04:00,1.730346,2025-05-09T09:43:00-04:00,1.744751,surge_first_red_close,0.8325,18.202233,2486.388855,3126.188302,win
Base,2025-05-20,SYTA,win,2025-05-20T09:48:00-04:00,6.322164,2025-05-20T09:53:00-04:00,6.068064,stop_loss,-4.0192,-102.9689,2500.950642,3023.219402,loss
Base,2025-07-21,PMN,win,2025-07-21T10:26:00-04:00,1.131026,2025-07-21T10:40:00-04:00,1.439812,surge_first_red_close,27.3014,657.555916,2418.575522,3680.775318,win
Base,2025-07-31,PBM,win,2025-07-31T09:59:00-04:00,8.786757,2025-07-31T10:00:00-04:00,8.4336,stop_loss,-4.0192,-121.235622,2944.620255,3559.539696,loss
Base,2025-08-06,AIMD,win,2025-08-06T09:47:00-04:00,3.980796,2025-08-06T09:48:00-04:00,3.8208,stop_loss,-4.0192,-117.242421,2847.631757,3442.297274,loss
Base,2025-08-08,MRM,win,2025-08-08T09:46:00-04:00,2.185437,2025-08-08T09:47:00-04:00,2.0976,stop_loss,-4.0192,-113.380746,2753.83782,3328.916528,loss
Base,2025-08-11,BJDX,win,2025-08-11T10:27:00-04:00,2.040308,2025-08-11T10:28:00-04:00,1.958304,stop_loss,-4.0192,-109.646265,2663.133223,3219.270263,loss
Base,2025-08-13,BSLK,win,2025-08-13T10:23:00-04:00,4.070814,2025-08-13T10:25:00-04:00,4.509098,surge_first_red_close,10.7665,274.568009,2575.41621,3493.838272,win
Base,2025-08-14,TRIB,win,2025-08-14T10:13:00-04:00,1.861372,2025-08-14T10:14:00-04:00,1.78656,stop_loss,-4.0192,-115.078379,2795.070618,3378.759893,loss
Base,2025-08-14,XPON,win,2025-08-14T09:55:00-04:00,3.925785,2025-08-14T09:59:00-04:00,3.768,stop_loss,-4.0192,-111.287982,2703.007914,3267.471911,loss
Base,2025-08-19,GXAI,loss,2025-08-19T09:41:00-04:00,1.930186,2025-08-19T09:43:00-04:00,1.939612,surge_first_red_close,0.4883,10.144968,2613.977528,3277.616878,win
Base,2025-08-20,THAR,win,2025-08-20T10:12:00-04:00,1.960492,2025-08-20T10:13:00-04:00,1.881696,stop_loss,-4.0192,-107.956582,2622.093503,3169.660296,loss
Base,2025-08-21,PTIX,loss,2025-08-21T10:02:00-04:00,5.141028,2025-08-21T10:04:00-04:00,5.558388,surge_first_red_close,8.1182,203.217408,2535.728237,3372.877704,win
Base,2025-08-22,ELAB,win,2025-08-22T09:47:00-04:00,3.30066,2025-08-22T09:52:00-04:00,3.168,stop_loss,-4.0192,-111.094238,2698.302163,3261.783467,loss
Base,2025-08-25,CAPS,win,2025-08-25T09:45:00-04:00,2.020304,2025-08-25T09:46:00-04:00,1.939104,stop_loss,-4.0192,-107.435069,2609.426773,3154.348398,loss
Base,2025-08-25,HCWB,win,2025-08-25T10:01:00-04:00,7.15143,2025-08-25T10:06:00-04:00,6.864,stop_loss,-4.0192,-103.896424,2523.478718,3050.451975,loss
Base,2025-08-26,ALLR,win,2025-08-26T09:40:00-04:00,2.210442,2025-08-26T09:45:00-04:00,2.1216,stop_loss,-4.0192,-100.474333,2440.36158,2949.977642,loss
Base,2025-08-28,AQB,win,2025-08-28T09:43:00-04:00,1.520304,2025-08-28T09:44:00-04:00,1.4592,stop_loss,-4.0192,-97.164957,2359.982113,2852.812685,loss
Base,2025-09-02,HWH,win,2025-09-02T09:47:00-04:00,2.660432,2025-09-02T09:49:00-04:00,2.553504,stop_loss,-4.0192,-93.964584,2282.250148,2758.848101,loss
Base,2025-09-03,AIHS,win,2025-09-03T09:42:00-04:00,4.430886,2025-09-03T09:44:00-04:00,4.807838,surge_first_red_close,8.5074,185.463558,2207.078481,2944.311659,win
Base,2025-09-04,BBLG,win,2025-09-04T09:41:00-04:00,2.785557,2025-09-04T09:43:00-04:00,2.827434,surge_first_red_close,1.5034,33.038109,2355.449327,2977.349768,win
Base,2025-09-25,SPRC,win,2025-09-25T10:04:00-04:00,6.791358,2025-09-25T10:14:00-04:00,7.89852,surge_first_red_close,16.3025,385.730219,2381.879814,3363.079987,win
Base,2025-09-30,SPRC,loss,2025-09-30T09:46:00-04:00,6.579416,2025-09-30T09:47:00-04:00,6.314976,stop_loss,-4.0192,-110.771525,2690.463989,3252.308462,loss
Base,2025-10-01,PALI,win,2025-10-01T09:57:00-04:00,1.131026,2025-10-01T10:00:00-04:00,1.29984,surge_first_red_close,14.9257,385.548396,2601.846769,3637.856857,win
Base,2025-10-03,ASTC,win,2025-10-03T09:41:00-04:00,7.611622,2025-10-03T09:44:00-04:00,7.563487,surge_first_red_close,-0.6324,-21.305393,2910.285486,3616.551464,loss
Base,2025-10-21,NERV,win,2025-10-21T09:41:00-04:00,8.111622,2025-10-21T09:45:00-04:00,9.818036,surge_first_red_close,21.0367,605.443625,2893.241171,4221.995089,win
Base,2025-10-24,NEUP,win,2025-10-24T09:43:00-04:00,6.911382,2025-10-24T09:44:00-04:00,7.09858,surge_first_red_close,2.7085,88.060425,3377.596071,4310.055514,win
Base,2025-10-24,WGRX,win,2025-10-24T09:50:00-04:00,1.055211,2025-10-24T09:51:00-04:00,1.0128,stop_loss,-4.0192,-141.962553,3448.044411,4168.09296,loss
Base,2025-10-29,PPBT,win,2025-10-29T09:47:00-04:00,1.160032,2025-10-29T09:48:00-04:00,1.24975,surge_first_red_close,7.7341,254.428185,3334.474368,4422.521146,win
Base,2025-11-17,AMIX,win,2025-11-17T09:48:00-05:00,1.390278,2025-11-17T09:52:00-05:00,1.369726,surge_first_red_close,-1.4783,-55.81315,3538.016917,4366.707996,loss
Base,2025-11-19,SGBX,loss,2025-11-19T09:39:00-05:00,4.170634,2025-11-19T09:41:00-05:00,4.539092,surge_first_red_close,8.8346,304.976609,3493.366397,4671.684605,win
Base,2025-12-02,PLRZ,loss,2025-12-02T09:43:00-05:00,7.181436,2025-12-02T09:54:00-05:00,7.789742,surge_first_red_close,8.4705,312.677548,3737.347684,4984.362153,win
Base,2025-12-04,KALA,win,2025-12-04T09:43:00-05:00,1.440288,2025-12-04T09:45:00-05:00,1.3824,stop_loss,-4.0192,-164.172544,3987.489723,4820.189609,loss
Base,2025-12-09,NCPL,win,2025-12-09T09:59:00-05:00,1.510302,2025-12-09T10:06:00-05:00,1.639572,surge_first_red_close,8.5592,326.035197,3856.151687,5146.224806,win
Base,2025-12-11,PETS,win,2025-12-11T09:51:00-05:00,2.882376,2025-12-11T09:53:00-05:00,2.766528,stop_loss,-4.0192,-169.503899,4116.979845,4976.720907,loss
Base,2025-12-12,ZDGE,win,2025-12-12T10:28:00-05:00,4.09952,2025-12-12T10:36:00-05:00,4.229154,surge_first_red_close,3.1622,121.854037,3981.376726,5098.574945,win
Base,2025-12-17,YCBD,win,2025-12-17T09:52:00-05:00,2.40048,2025-12-17T09:57:00-05:00,2.304,stop_loss,-4.0192,-167.934431,4078.859956,4930.640514,loss
Base,2025-12-18,ATHA,loss,2025-12-18T09:40:00-05:00,8.041608,2025-12-18T09:56:00-05:00,7.7184,stop_loss,-4.0192,-162.403086,3944.512411,4768.237428,loss
Base,2025-12-23,HIHO,win,2025-12-23T10:01:00-05:00,1.638628,2025-12-23T10:02:00-05:00,1.671166,surge_first_red_close,1.9857,71.893409,3814.589942,4840.130836,win
Base,2025-12-26,ECDA,win,2025-12-26T09:44:00-05:00,1.429686,2025-12-26T09:46:00-05:00,1.372224,stop_loss,-4.0192,-159.421922,3872.104669,4680.708915,loss
Base,2025-12-30,AEHL,win,2025-12-30T10:00:00-05:00,2.30046,2025-12-30T10:04:00-05:00,2.319636,surge_first_red_close,0.8336,27.453472,3744.567132,4708.162387,win
Base,2025-12-31,INBS,win,2025-12-31T09:51:00-05:00,7.70154,2025-12-31T09:56:00-05:00,7.392,stop_loss,-4.0192,-155.075208,3766.529909,4553.087179,loss
Base,2026-01-13,XAIR,win,2026-01-13T09:39:00-05:00,1.620324,2026-01-13T09:41:00-05:00,1.689662,surge_first_red_close,4.2793,152.150622,3642.469743,4705.237801,win
Base,2026-01-16,JFBR,win,2026-01-16T09:44:00-05:00,1.430186,2026-01-16T09:52:00-05:00,1.619676,surge_first_red_close,13.2493,494.716326,3764.190241,5199.954127,win
Base,2026-01-16,VERO,win,2026-01-16T10:30:00-05:00,7.421484,2026-01-16T10:38:00-05:00,8.228354,surge_first_red_close,10.8721,447.888618,4159.963302,5647.842746,win
Base,2026-01-20,POLA,loss,2026-01-20T09:42:00-05:00,2.340568,2026-01-20T09:45:00-05:00,2.579584,surge_first_red_close,10.2119,456.651692,4518.274197,6104.494438,win
Base,2026-01-23,REVB,win,2026-01-23T09:53:00-05:00,1.330266,2026-01-23T09:54:00-05:00,1.2768,stop_loss,-4.0192,-201.066927,4883.59555,5903.427511,loss
Base,2026-02-02,FUSE,win,2026-02-02T09:41:00-05:00,2.937487,2026-02-02T09:43:00-05:00,3.027794,surge_first_red_close,3.0743,140.395543,4722.742008,6043.823054,win
Base,2026-02-03,GXAI,win,2026-02-03T09:41:00-05:00,1.845869,2026-02-03T09:45:00-05:00,1.929014,surge_first_red_close,4.5044,212.845613,4835.058443,6256.668667,win
Base,2026-02-12,CHOW,win,2026-02-12T09:57:00-05:00,1.05011,2026-02-12T10:00:00-05:00,1.034793,surge_first_red_close,-1.4586,-77.977008,5005.334933,6178.691659,loss
Base,2026-02-17,CHOW,loss,2026-02-17T09:41:00-05:00,1.040108,2026-02-17T09:42:00-05:00,0.998304,stop_loss,-4.0192,-203.5108,4942.953327,5975.180859,loss
Base,2026-02-18,RXT,win,2026-02-18T09:44:00-05:00,1.19894,2026-02-18T09:51:00-05:00,1.284743,surge_first_red_close,7.1566,337.144397,4780.144687,6312.325257,win
